ri,partido,marca,convenio,disponibilidad,ubicación
E-3250/19,25 de Mayo,MARCA EMA 3.200.000 LTS/HR,NO,SI,Laguna de la Mulita
PHL-045,25 de Mayo,MARCA PIVAS 4.000.000 LTS/HR,NO,SI,Laguna de la Mulita
PHL-048,25 de Mayo,MARCA PIVAS 4.000.000 LTS/HR,NO,SI,Laguna de la Mulita
E-3238/19,9 de Julio,MARCA EMA 3.200.000 LTS/HR,NO,SI,Departamento Zona III 9 de Julio
E-3258/19,9 de Julio,MARCA EMA 3.200.000 LTS/HR,NO,SI,Departamento Zona III 9 de Julio
P-018,Carlos Casares,MARCA PIVAS 2.000.000 LTS/HR,SI,SI,
P-019,Carlos Casares,MARCA PIVAS 2.000.000 LTS/HR,SI,SI,Corralon Municipal de Carlos Casares
P-023,Carlos Casares,MARCA PIVAS 2.000.000 LTS/HR,SI,SI,Delegacion de Bellocq
P-052-L/16,Carlos Tejedor,MARCA PIVAS 3.000.000 LTS/HR,SI,SI,Corralon Municipal de Carlos Tejedor
E-3248/19,Carlos Tejedor,MARCA EMA 3.200.000 LTS/HR,SI,SI,Corralon Municipal de Carlos Tejedor
E-3254/19,Carlos Tejedor,MARCA EMA 3.200.000 LTS/HR,SI,SI,Corralon Municipal de Carlos Tejedor
E-3256/19,Carlos Tejedor,MARCA EMA 3.200.000 LTS/HR,SI,SI,Delegacion de Curaru
E-3261/19,Carlos Tejedor,MARCA EMA 3.200.000 LTS/HR,SI,SI,Corralon Municipal de Carlos Tejedor
E-17/25,9 de Julio,MARCA EMA 3.200.000 LTS/HR,NO,SI,Municipalidad de 9 de Julio
E-14-0383/25,9 de Julio,MARCA EMA 3.200.000 LTS/HR,NO,SI,Municipalidad de 9 de Julio
E-14-0385/25,9 de Julio,MARCA EMA 3.200.000 LTS/HR,NO,SI,Municipalidad de 9 de Julio
E-14-0386/25,9 de Julio,MARCA EMA 3.200.000 LTS/HR,NO,SI,Municipalidad de 9 de Julio
E-14-0387/25,9 de Julio,MARCA EMA 3.200.000 LTS/HR,NO,SI,Municipalidad de 9 de Julio
E-14-0390/25,9 de Julio,MARCA EMA 3.200.000 LTS/HR,NO,SI,Municipalidad de 9 de Julio
P-072-L/16,Bolívar,MARCA PIVAS 3.000.000 LTS/HR,NO,SI,Parque Municipal de Bolívar
P-036,Capilla del Señor,MARCA PIVAS 2.000.000 LTS/HR,NO,SI,
E-14-0384/25,Carlos Casares,MARCA EMA 3.200.000 LTS/HR,NO,SI,Municipalidad de Carlos Casares
E-3242/19,Daireaux,MARCA EMA 3.200.000 LTS/HR,NO,SI,Corralon Municipal de Arboleda
E-3245/19,Daireaux,MARCA EMA 3.200.000 LTS/HR,NO,SI,Bomberos Voluntarios de Arboleda
E-3259/19,Dolores,MARCA EMA 3.200.000 LTS/HR,NO,SI,Departamento Zona VIII Dolores
E-3262/19,Dolores,MARCA EMA 3.200.000 LTS/HR,NO,SI,Departamento Zona VIII Dolores
PHL-053,Dolores,MARCA PIVAS 4.000.000 LTS/HR,NO,SI,"Corralon Municipal de Roque Pérez, PRESTAMO A Departamento Zona VIII Dolores DPH"
PHL-054,Dolores,MARCA PIVAS 4.000.000 LTS/HR,NO,SI,"Corralon Municipal de Roque Pérez, PRESTAMO A Departamento Zona VIII Dolores DPH"
E-01,Florentino Ameghino,MARCA EMA 1.500.000 LTS/HR,NO,SI,Corralon Municipal de Florentino Ameghino
P-034,Florentino Ameghino,MARCA PIVAS 2.000.000 LTS/HR,NO,SI,Corralon Municipal de Florentino Ameghino
P-001,General Pinto,MARCA PIVAS 2.000.000 LTS/HR,SI,SI,Corralon Municipal de Gral. Pinto
E-3260/19,General Pinto,MARCA EMA 3.200.000 LTS/HR,SI,SI,Corralon Municipal de Gral. Pinto
E-003,General Villegas,MARCA EMA 1.500.000 LTS/HR,SI,SI,Corralon Municipal de Piedritas
