tipo,marca,dominio,afectación,detalle,estado,observación,zona,partido,ubicación,coordenadas,link,informe
Retroexcavadora con brazo corto,Komatsu PC200LC-8,RIK388,Convenio,Obra: Tareas de emergencia en la ciudad de Bolivar,Operativo,,Zona 4,Bolívar,Canal Artola,"36°03'01.2""S 61°09'38.3""W",https://maps.app.goo.gl/rwBT8f2gKnbavSxb8,06/06/25 - Se paró la maquina. Se le colocaron los dientes del balde nuevos y se le soldadoron dos pernos del retro y del pei de pluma.
Retropala,Case 570T,EBZ-64,Sin afectación,,Operativo,,Zona 4,Departamento de Logistica,Departamento de Logistica,"34°52'42.0""S 57°56'21.6""W",https://maps.app.goo.gl/4ok5tcs5D5WjPzv67,30/08/22 - Se encuentra operativa pero se arranca haciendo puente con otro equipo debido a que debería cambiarse la bateria.
Retropala,Tortone TO160SB,1111,Sin afectación,Realiza trabajos en el Distrito,No Operativo,,Zona 4,Las Flores,Distrito Zona IV - sede las Flores,"36°00'54.4""S 59°06'25.5""W",https://maps.app.goo.gl/e4EMZor3mVUcgS8S8,El equipo se encuentra operativo con limitaciones.
Retropala,John Deere,JD403,Sin afectación,,Operativo,,Zona 1,Colón,Secretaría de Obras Públicas,"33°53'53.5""S 61°06'49.5""W",https://maps.app.goo.gl/UdCD9moAahJ9NWj97,
Retropala,Komatsu,s/patentar,Sin afectación,,No Operativo,,Zona 1,Departamento de Logistica,Departamento de Logistica Ensenada,"34°52'42.0""S 57°56'21.6""W",https://maps.app.goo.gl/4ok5tcs5D5WjPzv67,
Retropala,Lovol,EBV 87,Sin afectación,,Operativo,,Zona 1,Salto,Secretaría de Infraestructura - Viviendas y Servicios Públicos,"34°17'59.5""S 60°14'27.7""W",https://maps.app.goo.gl/d1Aj455YpTJWTKVd7,
Pala cargadora frontal,John Deere,DEW 29,Convenio,Prestación de equipos: Trabajos Complementarios de las Obras de Mejoramiento Hidráulico del Aº de la Cruz aguas arriba del Puente FCGU y sus Afluentes,Operativo,,Zona 1,Exaltación de la Cruz,Arroyo de la Cruz,"34°17'53.7""S 59°06'17.1""W",https://maps.app.goo.gl/gekgptX9UouhCgm59,
Retropala,Lovol,EBL 39,Convenio,Obra: Mejoramiento Hidráulico del Aº de la Cruz aguas arriba del Puente FCGU y sus Afluentes,Operativo,,Zona 1,Exaltación de la Cruz,Arroyo de la Cruz,"34°17'53.7""S 59°06'17.1""W",https://maps.app.goo.gl/gekgptX9UouhCgm59,
Retropala,Case,EBZ 65,Sin afectación,,Operativo,,Zona 1,Pergamino,Distrito Zona I - sede Pergamino,"33°54'10.0""S 60°34'25.2""W",https://maps.app.goo.gl/oqAyPawte19wSTnp6,
Retropala,Kamo,s/patentar,Sin afectación,,No Operativo,,Zona 1,Pergamino,Distrito Zona I - sede Pergamino,"33°54'10.0""S 60°34'25.2""W",https://maps.app.goo.gl/oqAyPawte19wSTnp6,
